"item" "cond" "subj" "so" "rt"
"12.121" "12" "a" "34" -0.5 364.567902697967
"13.121" "13" "b" "34" 0.5 783.397856191846
"14.121" "14" "a" "34" -0.5 196.120787606847
"15.121" "15" "b" "34" 0.5 911.035541904373
"16.121" "16" "a" "34" -0.5 616.370478860409
"1.131" "1" "b" "35" 0.5 547.560973638102
"2.131" "2" "a" "35" -0.5 680.334605237964
"3.131" "3" "b" "35" 0.5 1009.77927448642
"4.131" "4" "a" "35" -0.5 631.584088058808
"5.131" "5" "b" "35" 0.5 507.779984303189
"6.131" "6" "a" "35" -0.5 620.117007242908
"7.131" "7" "b" "35" 0.5 737.158998916215
"8.131" "8" "a" "35" -0.5 321.469133699155
"9.131" "9" "b" "35" 0.5 819.093293892465
"10.131" "10" "a" "35" -0.5 397.873735604288
"11.131" "11" "b" "35" 0.5 789.011172504942
"12.131" "12" "a" "35" -0.5 740.492566093338
"13.131" "13" "b" "35" 0.5 734.225988787774
"14.131" "14" "a" "35" -0.5 381.38151167862
"15.131" "15" "b" "35" 0.5 553.43124767228
"16.131" "16" "a" "35" -0.5 902.503095988973
"1.141" "1" "b" "36" 0.5 717.748740679867
"2.141" "2" "a" "36" -0.5 422.118915654652
"3.141" "3" "b" "36" 0.5 471.58347309075
"4.141" "4" "a" "36" -0.5 492.795284779834
"5.141" "5" "b" "36" 0.5 324.201051826245
"6.141" "6" "a" "36" -0.5 201.828232314476
"7.141" "7" "b" "36" 0.5 834.060484646789
"8.141" "8" "a" "36" -0.5 265.724567677783
"9.141" "9" "b" "36" 0.5 670.162280546891
"10.141" "10" "a" "36" -0.5 323.230058252902
"11.141" "11" "b" "36" 0.5 609.452683291651
"12.141" "12" "a" "36" -0.5 309.975159695465
"13.141" "13" "b" "36" 0.5 470.751559530405
"14.141" "14" "a" "36" -0.5 515.670499512714
"15.141" "15" "b" "36" 0.5 561.210348972283
"16.141" "16" "a" "36" -0.5 256.416135088389
"1.151" "1" "b" "37" 0.5 280.407829480035
"2.151" "2" "a" "37" -0.5 292.618236113276
"3.151" "3" "b" "37" 0.5 857.423185584209
"4.151" "4" "a" "37" -0.5 147.650511595647
"5.151" "5" "b" "37" 0.5 1018.60435776135
"6.151" "6" "a" "37" -0.5 336.525977721775
"7.151" "7" "b" "37" 0.5 778.474501233533
"8.151" "8" "a" "37" -0.5 209.860501126602
"9.151" "9" "b" "37" 0.5 734.187373510976
"10.151" "10" "a" "37" -0.5 301.398067887185
"11.151" "11" "b" "37" 0.5 588.493915879787
"12.151" "12" "a" "37" -0.5 513.828578687168
"13.151" "13" "b" "37" 0.5 693.267798060289
"14.151" "14" "a" "37" -0.5 886.26689683989
"15.151" "15" "b" "37" 0.5 490.021734188925
"16.151" "16" "a" "37" -0.5 435.356961152654
"1.161" "1" "b" "38" 0.5 141.638343108327
"2.161" "2" "a" "38" -0.5 338.42605550394
"3.161" "3" "b" "38" 0.5 164.836225527112
"4.161" "4" "a" "38" -0.5 121.9964012475
"5.161" "5" "b" "38" 0.5 115.070038743445
"6.161" "6" "a" "38" -0.5 156.213529775625
"7.161" "7" "b" "38" 0.5 200.565047676283
"8.161" "8" "a" "38" -0.5 208.060539959259
"9.161" "9" "b" "38" 0.5 73.3802686233049
"10.161" "10" "a" "38" -0.5 168.415531065978
"11.161" "11" "b" "38" 0.5 183.001940562281
"12.161" "12" "a" "38" -0.5 159.764126129603
"13.161" "13" "b" "38" 0.5 85.0564215174457
"14.161" "14" "a" "38" -0.5 134.736153300168
"15.161" "15" "b" "38" 0.5 142.41933723846
"16.161" "16" "a" "38" -0.5 135.397582467425
"1.171" "1" "b" "39" 0.5 382.066110333815
"2.171" "2" "a" "39" -0.5 446.989075381995
"3.171" "3" "b" "39" 0.5 279.491690408039
"4.171" "4" "a" "39" -0.5 266.129902001258
"5.171" "5" "b" "39" 0.5 536.005264720946
"6.171" "6" "a" "39" -0.5 316.748338731814
"7.171" "7" "b" "39" 0.5 847.679627488329
"8.171" "8" "a" "39" -0.5 563.813565679543
"9.171" "9" "b" "39" 0.5 987.502775387059
"10.171" "10" "a" "39" -0.5 345.497905126571
"11.171" "11" "b" "39" 0.5 676.381296549908
"12.171" "12" "a" "39" -0.5 460.543206678646
"13.171" "13" "b" "39" 0.5 561.113309999387
"14.171" "14" "a" "39" -0.5 284.076213698771
"15.171" "15" "b" "39" 0.5 626.677031032385
"16.171" "16" "a" "39" -0.5 598.889083832348
"1.181" "1" "b" "40" 0.5 205.138911601923
"2.181" "2" "a" "40" -0.5 304.338216143601
"3.181" "3" "b" "40" 0.5 437.401960648866
"4.181" "4" "a" "40" -0.5 221.245357861431
"5.181" "5" "b" "40" 0.5 345.775155116974
"6.181" "6" "a" "40" -0.5 627.317148579756
"7.181" "7" "b" "40" 0.5 307.281010485722
"8.181" "8" "a" "40" -0.5 135.989851351325
"9.181" "9" "b" "40" 0.5 557.172990860321
"10.181" "10" "a" "40" -0.5 236.794210474509
"11.181" "11" "b" "40" 0.5 222.06074929387
"12.181" "12" "a" "40" -0.5 240.185134517973
"13.181" "13" "b" "40" 0.5 440.545367523859
"14.181" "14" "a" "40" -0.5 358.227927407243
"15.181" "15" "b" "40" 0.5 572.149989391551
"16.181" "16" "a" "40" -0.5 327.737596323582
"1.191" "1" "b" "41" 0.5 196.811648605191
"2.191" "2" "a" "41" -0.5 171.856095990987
"3.191" "3" "b" "41" 0.5 414.890897193641
"4.191" "4" "a" "41" -0.5 433.543693299001
"5.191" "5" "b" "41" 0.5 156.656988959
"6.191" "6" "a" "41" -0.5 276.290409255152
"7.191" "7" "b" "41" 0.5 357.501211795673
"8.191" "8" "a" "41" -0.5 192.484264651677
"9.191" "9" "b" "41" 0.5 240.646357727017
"10.191" "10" "a" "41" -0.5 216.830333085256
"11.191" "11" "b" "41" 0.5 366.800828889003
"12.191" "12" "a" "41" -0.5 591.458872581248
"13.191" "13" "b" "41" 0.5 328.110268279436
"14.191" "14" "a" "41" -0.5 443.544837638447
"15.191" "15" "b" "41" 0.5 253.245915067943
"16.191" "16" "a" "41" -0.5 156.545974882423
"1.201" "1" "b" "42" 0.5 553.93169961332
"2.201" "2" "a" "42" -0.5 774.799293677397
"3.201" "3" "b" "42" 0.5 604.518213584882
"4.201" "4" "a" "42" -0.5 470.322623685196
"5.201" "5" "b" "42" 0.5 1279.95414516506
"6.201" "6" "a" "42" -0.5 377.920912693604
"7.201" "7" "b" "42" 0.5 633.694894273334
"8.201" "8" "a" "42" -0.5 395.915351868182
"9.201" "9" "b" "42" 0.5 761.671683105645
"10.201" "10" "a" "42" -0.5 696.210837696919
"11.201" "11" "b" "42" 0.5 1129.67872442132
"12.201" "12" "a" "42" -0.5 435.28194646439
"13.201" "13" "b" "42" 0.5 357.896020544155
"14.201" "14" "a" "42" -0.5 405.57778729438
"15.201" "15" "b" "42" 0.5 1210.03332421284
"16.201" "16" "a" "42" -0.5 625.529266493644
